"date","deployment","pm10_24","n","pm10_onlake","n_onlake","pm10_dunes","n_dunes","pm10_offlake","n_offlake","class","dunes"
2017-03-29,"North Beach",556,24,21,3,NA,NA,556,21,"offlake",NA
2017-03-29,"Olancha",335,24,286,8,NA,NA,69,16,"onlake",NA
2017-03-29,"Shell Cut",280,24,283,19,NA,NA,17,5,"onlake",NA
2017-03-30,"Dirty Socks",241,24,241,24,NA,NA,20,0,"onlake",NA
2017-03-30,"Keeler",1171,24,20,0,1171,24,1171,24,"offlake",TRUE
2017-03-30,"Lizard Tail",1223,24,20,0,NA,NA,952,23,"offlake",NA
2017-03-30,"Mill Site",8588,576,8588,576,NA,NA,20,0,"onlake",NA
2017-03-30,"North Beach",616,24,20,0,NA,NA,616,24,"offlake",NA
2017-03-30,"Olancha",811,24,811,24,NA,NA,20,0,"onlake",NA
2017-03-30,"Shell Cut",168,24,168,24,NA,NA,20,0,"onlake",NA
2017-04-05,"Dirty Socks",183,24,92,4,NA,NA,111,20,"mixed",NA
2017-04-05,"Lizard Tail",224,24,224,20,NA,NA,20,4,"onlake",NA
2017-04-05,"North Beach",186,24,186,24,NA,NA,20,0,"onlake",NA
2017-04-05,"Shell Cut",171,24,72,5,NA,NA,119,19,"mixed",NA
2017-04-05,"Stanley",430,24,51,19,NA,NA,399,5,"offlake",NA
2017-04-06,"Dirty Socks",2165,24,20,0,NA,NA,2165,24,"offlake",NA
2017-04-06,"Lizard Tail",298,24,273,22,NA,NA,44,2,"onlake",NA
2017-04-06,"Lone Pine",262,24,202,11,NA,NA,80,13,"onlake",NA
2017-04-06,"North Beach",219,24,221,22,NA,NA,19,2,"onlake",NA
2017-04-06,"Shell Cut",785,24,20,0,NA,NA,785,24,"offlake",NA
2017-04-11,"Dirty Socks",168,24,20,2,NA,NA,168,22,"offlake",NA
2017-04-12,"Dirty Socks",182,20,30,5,NA,NA,172,15,"offlake",NA
2017-04-12,"Shell Cut",387,19,19,3,NA,NA,388,16,"offlake",NA
2017-08-30,"North Beach",155,24,20,10,NA,NA,155,14,"offlake",NA
2017-09-20,"Shell Cut",231,24,24,8,NA,NA,227,16,"offlake",NA
2017-10-07,"Keeler",258,24,25,11,254,5,253,13,"offlake",TRUE
2017-10-07,"Olancha",236,24,234,12,NA,NA,22,12,"onlake",NA
2017-10-08,"Olancha",150,24,151,16,NA,NA,19,8,"onlake",NA
2017-11-26,"Dirty Socks",203,24,28,13,NA,NA,196,11,"offlake",NA
2017-11-26,"Keeler",295,23,36,9,280,11,279,14,"offlake",TRUE
2017-11-26,"Shell Cut",186,24,47,13,NA,NA,159,11,"offlake",NA
2017-12-19,"Lizard Tail",193,24,145,4,NA,NA,68,20,"mixed",NA
2017-12-19,"North Beach",173,24,144,6,NA,NA,49,18,"mixed",NA
2018-02-09,"Mill Site",158,24,153,16,NA,NA,24,8,"onlake",NA
2018-02-09,"Olancha",208,24,207,13,NA,NA,21,11,"onlake",NA
2018-02-09,"Shell Cut",200,24,205,17,NA,NA,16,7,"onlake",NA
2018-02-10,"Dirty Socks",152,24,53,11,NA,NA,119,13,"mixed",NA
2018-02-10,"Keeler",180,22,126,9,34,3,74,13,"mixed",NA
2018-02-10,"Lizard Tail",203,24,161,14,NA,NA,62,10,"onlake",NA
2018-02-10,"Mill Site",151,24,107,13,NA,NA,64,11,"mixed",NA
2018-03-01,"Dirty Socks",190,24,20,0,NA,NA,190,24,"offlake",NA
2018-03-01,"Shell Cut",294,24,20,0,NA,NA,294,24,"offlake",NA
2018-03-26,"Olancha",166,24,82,19,NA,NA,20,0,"mixed",NA
2018-04-11,"North Beach",239,24,23,1,NA,NA,236,23,"offlake",NA
2018-04-15,"Dirty Socks",212,24,20,2,NA,NA,212,22,"offlake",NA
2018-04-15,"Lizard Tail",220,24,194,17,NA,NA,47,7,"onlake",NA
2018-04-15,"Lone Pine",226,24,136,13,NA,NA,110,11,"mixed",NA
2018-04-15,"North Beach",206,24,191,17,NA,NA,35,7,"onlake",NA
2018-04-15,"Shell Cut",196,24,29,4,NA,NA,187,20,"offlake",NA
2018-05-10,"Keeler",729,24,18,5,726,7,731,19,"offlake",TRUE
2018-05-10,"Lizard Tail",237,24,17,8,NA,NA,241,16,"offlake",NA
2018-05-10,"North Beach",365,24,17,5,NA,NA,368,19,"offlake",NA
